Time,northern_flow,sjr_flow,exports,/HIST+GATE/RSAC128/POS/01JAN1953 - 01JAN2020/IR-YEAR/DWR-DMS-DSM2/,div+seep-drain_dcd+smcd,daily_max-min,sjr_vernalis_ec,sac_greens_ec
2013-10-02,9352.745833,997.0,4905.0,1.0,1979.77537,4.289999962,498.0,154.0
2013-10-03,9638.550694,940.0,4201.0,1.0,1803.905932,4.629999995,547.0,151.0
2013-10-04,9044.413889,965.0,4855.0,1.0,2048.695179,4.960000038,578.0,151.0
2013-10-05,8368.453472,980.0,4234.0,1.0,1960.385804,5.129999876,623.0,159.0
2013-10-06,8530.183334,984.0,4236.0,1.0,2192.804662,5.46999979,578.0,154.0
2013-10-07,8345.010071,975.0,4243.0,1.0,2078.964904,5.539999962,577.0,154.0
2013-10-08,8678.085415,964.0,3777.0,0.671527778,1884.646291,5.529999852,607.0,158.0
2013-10-09,8569.105904,955.0,3795.0,0.0,1685.08663,5.230000138,639.0,154.0
2013-10-10,8450.063194,910.0,3898.0,0.372222222,1803.286481,5.039999962,579.0,159.0
2013-10-11,8304.42882,913.0,3883.0,1.0,1798.826424,5.079999804,611.0,153.0
2013-10-12,8205.185764,951.0,3778.0,1.0,1841.596087,4.650000095,658.0,154.0
2013-10-13,8520.855207,972.0,3754.0,1.0,1756.326311,4.730000138,613.0,158.0
2013-10-14,8032.530903,963.0,3749.0,1.0,1853.8661,4.850000143,645.0,152.0
2013-10-15,7923.739237,1054.0,3788.0,1.0,1885.256044,4.659999967,665.0,149.0
2013-10-16,7962.952778,1212.0,3774.0,1.0,1804.936226,5.039999962,620.0,152.0
2013-10-17,7712.526043,1225.0,3742.0,0.392361111,1877.266024,5.349999785,509.0,148.0
2013-10-18,7562.712502,1218.0,3723.0,0.375694444,1799.926256,5.450000048,516.0,149.0
2013-10-19,7218.615623,1132.0,3513.0,1.0,1746.976364,5.519999981,541.0,160.0
2013-10-20,6929.774654,1199.0,3456.0,1.0,1699.766424,5.439999938,630.0,155.0
2013-10-21,6824.786457,1216.0,3495.0,0.405555556,1678.866384,5.120000124,629.0,154.0
2013-10-22,7295.805904,1178.0,3354.0,0.0,1836.076069,4.880000234,577.0,154.0
2013-10-23,6708.855209,1215.0,2770.0,0.0,1772.556128,4.539999843,571.0,153.0
2013-10-24,7022.811111,1524.0,2109.0,0.0,1478.796808,4.129999995,546.0,151.0
2013-10-25,7273.406944,2242.0,2395.0,0.0,1610.816517,3.940000176,465.0,155.0
2013-10-26,6917.748959,2511.0,2393.0,0.0,1719.466322,4.23999989,312.0,156.0
2013-10-27,5270.487846,2642.0,2668.0,0.0,1558.626554,3.53000021,294.0,155.0
2013-10-28,7732.829861,2671.0,2192.0,0.0,1368.317078,3.919999838,295.0,165.0
2013-10-29,7974.131945,2575.0,1755.0,0.0,1366.257073,4.170000076,248.0,165.0
2013-10-30,8244.99271,2306.0,2843.0,0.0,1461.336883,4.610000134,223.0,166.0
2013-10-31,8769.056597,2012.0,4843.0,0.573611111,1264.217311,5.109999895,242.0,154.0
